"athlete_id","date","metric","value"
1,2016-05-01,"hip_mobility",36
1,2016-05-02,"hip_mobility",36
1,2016-05-03,"hip_mobility",56
1,2016-05-04,"hip_mobility",24
1,2016-05-05,"hip_mobility",35
1,2016-05-06,"hip_mobility",15
1,2016-05-07,"hip_mobility",51
1,2016-05-08,"hip_mobility",41
1,2016-05-09,"hip_mobility",34
1,2016-05-10,"hip_mobility",44
1,2016-05-11,"hip_mobility",33
1,2016-05-12,"hip_mobility",41
1,2016-05-13,"hip_mobility",29
1,2016-05-14,"hip_mobility",53
1,2016-05-15,"hip_mobility",37
1,2016-05-16,"hip_mobility",38
1,2016-05-17,"hip_mobility",45
1,2016-05-18,"hip_mobility",27
1,2016-05-19,"hip_mobility",29
1,2016-05-20,"hip_mobility",60
1,2016-05-21,"hip_mobility",49
1,2016-05-22,"hip_mobility",29
1,2016-05-23,"hip_mobility",37
1,2016-05-24,"hip_mobility",47
1,2016-05-25,"hip_mobility",35
1,2016-05-26,"hip_mobility",41
1,2016-05-27,"hip_mobility",39
1,2016-05-28,"hip_mobility",46
1,2016-05-29,"hip_mobility",59
1,2016-05-30,"hip_mobility",40
1,2016-05-31,"hip_mobility",62
1,2016-06-01,"hip_mobility",16
1,2016-06-02,"hip_mobility",40
1,2016-06-03,"hip_mobility",33
1,2016-06-04,"hip_mobility",12
1,2016-06-05,"hip_mobility",41
1,2016-06-06,"hip_mobility",45
1,2016-06-07,"hip_mobility",43
1,2016-06-08,"hip_mobility",49
1,2016-06-09,"hip_mobility",42
1,2016-06-10,"hip_mobility",35
1,2016-06-11,"hip_mobility",45
1,2016-06-12,"hip_mobility",28
1,2016-06-13,"hip_mobility",33
1,2016-06-14,"hip_mobility",30
1,2016-06-15,"hip_mobility",39
1,2016-06-16,"hip_mobility",46
1,2016-06-17,"hip_mobility",14
1,2016-06-18,"hip_mobility",34
1,2016-06-19,"hip_mobility",34
1,2016-06-20,"hip_mobility",15
1,2016-06-21,"hip_mobility",47
1,2016-06-22,"hip_mobility",45
1,2016-06-23,"hip_mobility",46
1,2016-06-24,"hip_mobility",44
1,2016-06-25,"hip_mobility",42
1,2016-06-26,"hip_mobility",36
1,2016-06-27,"hip_mobility",58
1,2016-06-28,"hip_mobility",30
1,2016-06-29,"hip_mobility",35
1,2016-06-30,"hip_mobility",52
1,2016-07-01,"hip_mobility",50
1,2016-07-02,"hip_mobility",43
1,2016-07-03,"hip_mobility",44
1,2016-07-04,"hip_mobility",27
1,2016-07-05,"hip_mobility",46
1,2016-07-06,"hip_mobility",42
1,2016-07-07,"hip_mobility",36
1,2016-07-08,"hip_mobility",36
1,2016-07-09,"hip_mobility",48
1,2016-07-10,"hip_mobility",31
1,2016-07-11,"hip_mobility",42
1,2016-07-12,"hip_mobility",27
1,2016-07-13,"hip_mobility",17
1,2016-07-14,"hip_mobility",44
1,2016-07-15,"hip_mobility",46
1,2016-07-16,"hip_mobility",39
1,2016-07-17,"hip_mobility",48
1,2016-07-18,"hip_mobility",43
1,2016-07-19,"hip_mobility",41
1,2016-07-20,"hip_mobility",36
1,2016-07-21,"hip_mobility",33
1,2016-07-22,"hip_mobility",49
1,2016-07-23,"hip_mobility",25
1,2016-07-24,"hip_mobility",34
1,2016-07-25,"hip_mobility",23
1,2016-07-26,"hip_mobility",39
1,2016-07-27,"hip_mobility",47
1,2016-07-28,"hip_mobility",44
1,2016-07-29,"hip_mobility",32
1,2016-07-30,"hip_mobility",43
1,2016-07-31,"hip_mobility",47
1,2016-08-01,"hip_mobility",37
1,2016-08-02,"hip_mobility",48
1,2016-08-03,"hip_mobility",37
1,2016-08-04,"hip_mobility",32
1,2016-08-05,"hip_mobility",43
1,2016-08-06,"hip_mobility",27
1,2016-08-07,"hip_mobility",33
1,2016-08-08,"hip_mobility",27
1,2016-08-09,"hip_mobility",7
1,2016-08-10,"hip_mobility",41
1,2016-08-11,"hip_mobility",26
1,2016-08-12,"hip_mobility",33
1,2016-08-13,"hip_mobility",39
1,2016-08-14,"hip_mobility",45
1,2016-08-15,"hip_mobility",48
1,2016-08-16,"hip_mobility",41
1,2016-08-17,"hip_mobility",37
1,2016-08-18,"hip_mobility",36
1,2016-08-19,"hip_mobility",39
1,2016-08-20,"hip_mobility",34
1,2016-08-21,"hip_mobility",42
1,2016-08-22,"hip_mobility",38
1,2016-08-23,"hip_mobility",53
1,2016-08-24,"hip_mobility",31
1,2016-08-25,"hip_mobility",23
1,2016-08-26,"hip_mobility",62
1,2016-08-27,"hip_mobility",27
1,2016-08-28,"hip_mobility",41
1,2016-08-29,"hip_mobility",34
1,2016-08-30,"hip_mobility",55
1,2016-08-31,"hip_mobility",52
1,2016-09-01,"hip_mobility",31
1,2016-09-02,"hip_mobility",27
1,2016-09-03,"hip_mobility",27
1,2016-09-04,"hip_mobility",51
1,2016-09-05,"hip_mobility",22
1,2016-09-06,"hip_mobility",52
1,2016-09-07,"hip_mobility",37
1,2016-09-08,"hip_mobility",33
1,2016-09-09,"hip_mobility",41
1,2016-09-10,"hip_mobility",22
